Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000121390025017068,EX-21,"https://www.sec.gov/Archives/edgar/data/1029199/000121390025017068/ex211/2.htm",Failed,"FAILED","","0","","","","","false"
000103046925000007,EX-21,"https://www.sec.gov/Archives/edgar/data/1030469/000103046925000007/ofg-20241231xex211.htm",Failed,"FAILED","","0","","","","","false"
000103089425000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1030894/000103089425000014/exhibit2112024.htm",Failed,"FAILED","","0","","","","","false"
000103120325000013,EX-21,"https://www.sec.gov/Archives/edgar/data/1031203/000103120325000013/a2024q4exhibit211.htm",Failed,"FAILED","","0","","","","","false"
000103129625000006,EX-21,"https://www.sec.gov/Archives/edgar/data/1031296/000103129625000006/fe-12312024xex21.htm",Failed,"FAILED","","0","","","","","false"
000143774925003216,EX-21,"https://www.sec.gov/Archives/edgar/data/10329/000143774925003216/ex/767781.htm",Failed,"FAILED","","0","","","","","false"
000095017025023852,EX-21,"https://www.sec.gov/Archives/edgar/data/1034670/000095017025023852/alv-ex21.htm",Failed,"FAILED","","0","","","","","false"
000010359525000015,EX-21,"https://www.sec.gov/Archives/edgar/data/103595/000010359525000015/vlgea20250726-ex21.htm",Failed,"FAILED","","0","","","","","false"
000095017025028387,EX-21,"https://www.sec.gov/Archives/edgar/data/103682/000095017025028387/d-ex21.htm",Failed,"FAILED","","0","","","","","false"
000010373025000017,EX-21,"https://www.sec.gov/Archives/edgar/data/103730/000010373025000017/exhibit21.htm",Failed,"FAILED","","0","","","","","false"
000103807425000003,EX-21,"https://www.sec.gov/Archives/edgar/data/1038074/000103807425000003/slab-20241228xexx21.htm",Failed,"FAILED","","0","","","","","false"
000149315225015950,EX-21,"https://www.sec.gov/Archives/edgar/data/1039280/000149315225015950/ex21-1.htm",Failed,"FAILED","","0","","","","","false"
000104016125000010,EX-21,"https://www.sec.gov/Archives/edgar/data/1040161/000104016125000010/ex21subsidiariesfor202410k.htm",Failed,"FAILED","","0","","","","","false"
000165495425008553,EX-21,"https://www.sec.gov/Archives/edgar/data/1040470/000165495425008553/aehr/ex211.htm",Failed,"FAILED","","0","","","","","false"
000156276225000245,EX-21,"https://www.sec.gov/Archives/edgar/data/1041514/000156276225000245/ex21.htm",Failed,"FAILED","","0","","","","","false"
000104165725000013,EX-21,"https://www.sec.gov/Archives/edgar/data/1041657/000104165725000013/uone/exx21x11.htm",Failed,"FAILED","","0","","","","","false"
000162828025018195,EX-21,"https://www.sec.gov/Archives/edgar/data/1041859/000162828025018195/plce-212025xex211.htm",Failed,"FAILED","","0","","","","","false"
