Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,Ownership,Footnotes,IsNested
,,,,"Riley Permian Operating Company, LLC","",0,,,"",false
,,,,"RPC Power HoldCo, LLC","",0,,,"",false
,,,,"Dovetail Midstream, LLC","",0,,,"",false
000155837025002017,EX-21,"https://www.sec.gov/Archives/edgar/data/1001838/000155837025002017/scco-20241231xex21d1.htm",Nested,"PARENT:","Americas Mining Corporation (Delaware)",0,,,"",false
000143774925029909,EX-21,"https://www.sec.gov/Archives/edgar/data/1001907/000143774925029909/ex/831011.htm",Nested,"1) Astrogenetix, Inc.","",0,,,"",false
,,,,"2) 1st Detect Corporation","",1,"1) Astrogenetix, Inc.",,"",true
,,,,"3) Agriculture Technology Corporation","",0,,,"",false
,,,,"4) Medikinetix, Inc.","",0,,,"",false
,,,,"5) Astrotech Technologies, Inc.","",0,,,"",false
,,,,"6) BreathTech Corporation","",0,,,"",false
,,,,"7) AgLAB Inc.","",0,,,"",false
,,,,"8) Cargo Security Center International, Inc.","",0,,,"",false
,,,,"9) AgLAB Remediation Company, LLC","",1,"8) Cargo Security Center International, Inc.",,"",true
,,,,"10) ProControl, Inc.","",1,"8) Cargo Security Center International, Inc.",,"",true
,,,,"11) EnScan, Inc.","",2,"10) ProControl, Inc.",,"",true
000095017025083705,EX-21,"https://www.sec.gov/Archives/edgar/data/1002047/000095017025083705/ntap-ex21/1.htm",Nested,"NetApp Argentina S.R.L.","Argentina",0,,,"",false
,,,,"NetApp Australia Pty Ltd","Australia",0,,,"",false
,,,,"Instaclustr Pty Ltd","Australia",0,,,"",false
,,,,"NetApp Austria GmbH","Austria",0,,,"",false
,,,,"BYMS International, Inc.","Barbados",0,,,"",false
,,,,"NetApp Belgium BV","Belgium",0,,,"",false
,,,,"NetApp Global Limited","Bermuda",0,,,"",false
,,,,"NetApp Global Holdings Ltd.","Bermuda",0,,,"",false
,,,,"NetApp International Holdings Ltd.","Bermuda",0,,,"",false
,,,,"NetApp Brasil Solucoes de Gerenciamento e Armazenamento de Dados Ltda","Brazil",0,,,"",false
,,,,"NetApp U.S. Public Sector, Inc.","California",0,,,"",false
,,,,"NetCache, Inc.","California",0,,,"",false
,,,,"NetApp Canada Ltd.","Canada",0,,,"",false
,,,,"NetApp VTC, Inc.","Canada",0,,,"",false
,,,,"NetApp Chile Limitada","Chile",0,,,"",false
,,,,"NetApp Commercial Co., Ltd.","China",0,,,"Shanghai",false
,,,,"NetApp Holdings Limited","Cyprus",0,,,"",false
,,,,"NetApp Capital Solutions, Inc.","Delaware",0,,,"",false
,,,,"SolidFire International, LLC","Delaware",0,,,"",false
,,,,"Cloud Jumper LLC","Delaware",0,,,"",false
,,,,"NetApp R&D LLC","Delaware",0,,,"",false
,,,,"Onaro, Inc.","Delaware",0,,,"",false
,,,,"StackPointCloud, LLC","Delaware",0,,,"",false
,,,,"Spotinst LLC","Delaware",0,,,"",false
,,,,"Talon Storage Solutions, Inc.","Delaware",0,,,"",false
,,,,"CloudCheckr LLC","Delaware",0,,,"",false
,,,,"Data Mechanics, LLC","Delaware",0,,,"",false
,,,,"Fylamynt LLC","Delaware",0,,,"",false
,,,,"NetApp US Holdings, Inc.","Delaware",0,,,"",false
,,,,"Instaclustr US Holding Inc.","Delaware",0,,,"",false
,,,,"Instaclustr, Inc.","Delaware",0,,,"",false
,,,,"NetApp Denmark ApS","Denmark",0,,,"",false
,,,,"NetApp Finland Oy","Finland",0,,,"",false
,,,,"NetApp France SAS","France",0,,,"",false
,,,,"Data Mechanics SAS","France",0,,,"",false
,,,,"NetApp Deutschland GmbH","Germany",0,,,"",false
,,,,"Caravan GmbH","Germany",0,,,"",false
,,,,"NetApp Limited","Hong Kong",0,,,"China",false
,,,,"NetApp Limited","Hong Kong",0,,,"Hong Kong",false
,,,,"NetApp Iceland ehf.","Iceland",0,,,"",false
,,,,"NetApp India Private Limited","India",0,,,"",false
,,,,"NetApp India Marketing and Services Private Limited","India",0,,,"",false
